vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Agriculture,BE,0.19,bing,2020
Cars & Motorbikes,BE,0.22,bing,2020
Fashion & Clothing,BE,0.14,bing,2020
Home Improvement & Maintenance,BE,0.15,bing,2020
Interior Design & Furniture,BE,0.15,bing,2020
Interior Design & Furniture,BE,0.17,bing,2020
Home Improvement & Maintenance,BE,0.84,bing,2021
Home Improvement & Maintenance,BE,0.18,bing,2020
Home Improvement & Maintenance,BE,0.27,bing,2020
Interior Design & Furniture,BE,0.19,bing,2020
Cars & Motorbikes,BE,0.2,bing,2020
Home Improvement & Maintenance,BE,0.21,bing,2020
Business,BE,0.3,bing,2020
Electronics,BE,0.65,bing,2021
Food & Drinks,BE,0.24,bing,2020
Home Improvement & Maintenance,BE,0.78,bing,2021
Home Improvement & Maintenance,BE,0.82,bing,2020
Home Improvement & Maintenance,PT,0.48,adwords,2020
Agriculture,BE,1.41,bing,2020
Food & Drinks,BE,1.4,bing,2020
Home Improvement & Maintenance,BE,1.61,bing,2020
Pharmacy,BE,1.64,bing,2020
Fashion & Clothing,BE,1.65,bing,2020
Transport & Logistics,BE,0.62,bing,2021
Home Improvement & Maintenance,BE,1.0,adwords,2023
Cars & Motorbikes,BE,0.27,adwords,2023
Home Improvement & Maintenance,BE,0.42,adwords,2023
Home Improvement & Maintenance,BE,2.17,adwords,2022
Cars & Motorbikes,BE,0.2,adwords,2021
Health,BE,0.26,bing,2023
Home Improvement & Maintenance,BE,1.08,bing,2023
Electronics,BE,0.73,bing,2021
Home Improvement & Maintenance,BE,0.56,bing,2021
Food & Drinks,BE,0.59,bing,2021
Home Improvement & Maintenance,BE,1.38,bing,2021
Home Improvement & Maintenance,BE,3.0,adwords,2023
Home Improvement & Maintenance,BE,0.56,facebook,2021
Home Improvement & Maintenance,BE,0.61,facebook,2021
Health,BE,2.17,adwords,2023
Home Improvement & Maintenance,BE,0.72,bing,2023
Business,BE,0.25,bing,2021
Industrial,BE,0.86,adwords,2021
Industrial,BE,1.6,bing,2023
Animals & Pets,BE,1.9,adwords,2021
Home Improvement & Maintenance,BE,0.89,bing,2021
Home Improvement & Maintenance,BE,2.38,adwords,2023
Home Improvement & Maintenance,BE,1.46,adwords,2023
Home Improvement & Maintenance,BE,2.55,bing,2022
Home Improvement & Maintenance,BE,0.34,adwords,2023
Home Improvement & Maintenance,BE,1.35,adwords,2023
Electronics,BE,0.5,bing,2021
Health,BE,0.71,adwords,2022
Environment,BE,0.66,adwords,2023
Fashion & Clothing,BE,0.9,facebook,2021
Cars & Motorbikes,BE,1.41,adwords,2021
Transport & Logistics,BE,0.13,bing,2023
Environment,BE,0.88,bing,2023
Home Improvement & Maintenance,BE,0.84,bing,2021
Food & Drinks,BE,0.59,bing,2021
Home Improvement & Maintenance,BE,1.49,facebook,2022
Interior Design & Furniture,BE,0.35,adwords,2023
Home Improvement & Maintenance,BE,2.17,bing,2021
Home Improvement & Maintenance,BE,0.79,adwords,2021
Home Improvement & Maintenance,BE,0.31,bing,2021
Food & Drinks,BE,0.72,adwords,2021
Home Improvement & Maintenance,BE,0.57,bing,2021
Real Estate,BE,0.53,facebook,2021
Home Improvement & Maintenance,BE,0.74,bing,2022
Others,BE,0.7,bing,2023
Home Improvement & Maintenance,BE,1.6,adwords,2023
Health,BE,0.79,adwords,2022
Home Improvement & Maintenance,BE,0.09,adwords,2023
Fashion & Clothing,BE,0.74,bing,2021
Health,BE,0.74,bing,2021
Beauty,BE,0.94,bing,2021
Home Improvement & Maintenance,BE,0.52,bing,2021
Health,BE,0.78,facebook,2021
Electronics,BE,0.64,bing,2021
Home Improvement & Maintenance,BE,0.64,facebook,2021
Home Improvement & Maintenance,BE,0.78,adwords,2021
Transport & Logistics,BE,0.78,bing,2021
Beauty,BE,0.62,bing,2022
Transport & Logistics,BE,0.94,bing,2021
Home Improvement & Maintenance,BE,1.92,facebook,2021
Beauty,BE,0.68,facebook,2021
Home Improvement & Maintenance,BE,0.55,bing,2021
Home Improvement & Maintenance,BE,0.88,bing,2021
Food & Drinks,BE,0.83,bing,2021
Home Improvement & Maintenance,BE,0.43,bing,2021
Health,BE,1.14,bing,2022
Electronics,BE,0.76,bing,2021
Cars & Motorbikes,BE,0.76,adwords,2021
Electronics,BE,0.66,bing,2021
Legal & Law,BE,2.55,adwords,2023
Interior Design & Furniture,BE,0.98,bing,2021
Home Improvement & Maintenance,BE,0.35,bing,2022
Accommodation & Hotels,BE,0.72,bing,2021
Home Improvement & Maintenance,BE,0.6,adwords,2023
Environment,BE,0.35,bing,2023
Flowers & Plants,BE,0.68,bing,2021
Funeral Services,BE,0.83,bing,2021
Home Improvement & Maintenance,BE,0.54,bing,2023
Food & Drinks,BE,0.25,facebook,2022
Home Improvement & Maintenance,BE,0.2,bing,2023
Accommodation & Hotels,BE,0.58,bing,2021
Restaurant,BE,0.1,bing,2023
Home Improvement & Maintenance,BE,1.69,bing,2022
Home Improvement & Maintenance,BE,0.68,adwords,2023
Health,BE,0.57,bing,2022
Real Estate,BE,0.45,adwords,2022
Fashion & Clothing,BE,0.3,bing,2023
Home Improvement & Maintenance,BE,1.0,adwords,2022
Home Improvement & Maintenance,BE,0.75,adwords,2023
Home Improvement & Maintenance,BE,0.28,adwords,2023
Restaurant,BE,0.44,adwords,2021
Electronics,BE,0.29,facebook,2023
Home Improvement & Maintenance,BE,1.45,adwords,2023
Home Improvement & Maintenance,BE,0.56,adwords,2022
Health,BE,2.47,bing,2023
Beauty,BE,0.6,bing,2022
Home Improvement & Maintenance,BE,0.27,bing,2022
Beauty,BE,0.93,bing,2021
Home Improvement & Maintenance,BE,0.23,bing,2023
Home Improvement & Maintenance,BE,0.64,bing,2021
Business,BE,0.58,adwords,2021
Home Improvement & Maintenance,BE,0.4,facebook,2023
Cars & Motorbikes,BE,1.61,adwords,2022
Restaurant,BE,0.25,bing,2023
Home Improvement & Maintenance,BE,0.64,adwords,2022
Home Improvement & Maintenance,BE,0.68,facebook,2023
Cars & Motorbikes,BE,0.74,bing,2022
Home Improvement & Maintenance,BE,0.4,bing,2021
Animals & Pets,BE,0.6,facebook,2022
Fashion & Clothing,BE,0.81,bing,2021
School,BE,0.13,bing,2023
Restaurant,BE,0.47,adwords,2022
Home Improvement & Maintenance,BE,0.67,adwords,2022
Business,BE,0.57,bing,2022
Real Estate,BE,1.87,bing,2021
Animals & Pets,BE,0.63,facebook,2023
Interior Design & Furniture,BE,0.68,bing,2023
Health,BE,0.57,bing,2022
Cars & Motorbikes,BE,0.84,adwords,2023
Health,BE,0.3,adwords,2022
Home Improvement & Maintenance,BE,0.58,bing,2022
Home Improvement & Maintenance,BE,0.75,adwords,2021
Industrial,BE,0.48,adwords,2023
Beauty,BE,0.55,facebook,2022
Industrial,BE,0.57,bing,2022
Legal & Law,BE,0.89,adwords,2022
Restaurant,BE,0.16,bing,2023
Food & Drinks,BE,0.13,bing,2023
Home Improvement & Maintenance,BE,0.2,adwords,2021
Home Improvement & Maintenance,BE,0.42,bing,2021
Home Improvement & Maintenance,BE,0.72,adwords,2022
Home Improvement & Maintenance,BE,0.71,adwords,2022
Fashion & Clothing,BE,0.37,adwords,2021
Home Improvement & Maintenance,BE,0.92,bing,2021
Interior Design & Furniture,BE,1.05,adwords,2022
Home Improvement & Maintenance,BE,0.69,adwords,2023
Home Improvement & Maintenance,BE,0.86,facebook,2021
Food & Drinks,BE,0.58,adwords,2022
Home Improvement & Maintenance,BE,0.82,adwords,2022
