campaign_id,vertical,partner_name,internal_state_id,ads_aggregate_state,goal_id,state_id,advertiser_country,max_goals,cost_per_goal,input_amount,advertising_platform_id
1,Health,Partner B,enabled,null,clicks,paused,ES,4375,0.02,87.5,#N/A
2,Agriculture,Partner B,enabled,null,clicks,paused,ES,4184,0.02,83.68,#N/A
3,Health,Partner B,enabled,null,clicks,paused,ES,3116,0.02,62.32,#N/A
4,Business,Partner B,enabled,null,clicks,paused,ES,2918,0.02,58.36,#N/A
5,Industrial,Partner B,enabled,null,clicks,paused,ES,2765,0.02,55.3,#N/A
6,Animals & Pets,Partner B,enabled,null,clicks,paused,ES,2588,1.71,4425.48,#N/A
7,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,2081,0.02,41.62,#N/A
8,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,2043,0.02,40.86,#N/A
9,Business,Partner B,enabled,null,clicks,paused,ES,1717,0.02,34.34,#N/A
10,Legal & Law,Partner B,enabled,null,clicks,paused,ES,1717,0.02,34.34,#N/A
11,Animals & Pets,Partner B,enabled,null,clicks,enabled,ES,1430,0.69,986.7,#N/A
12,Industrial,Partner B,enabled,null,clicks,paused,ES,1401,0.02,28.02,#N/A
13,School,Partner B,enabled,null,clicks,paused,ES,1242,0.02,24.84,#N/A
14,Agriculture,Partner B,enabled,null,clicks,enabled,ES,1215,0.44,534.6,#N/A
15,Funeral Services,Partner B,enabled,null,clicks,enabled,ES,1027,0.12408,127.43016,#N/A
16,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,1016,0.1255,127.508,#N/A
17,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,977,0.03,29.31,#N/A
18,Industrial,Partner B,enabled,null,clicks,enabled,ES,961,0.06629,63.70469,#N/A
19,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,941,0.03,28.23,#N/A
20,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,934,0.06824,63.73616,#N/A
21,Home Improvement & Maintenance,Partner B,enabled,null,clicks,paused,ES,922,0.02,18.44,#N/A
22,Fashion & Clothing,Partner B,enabled,null,clicks,enabled,ES,910,0.10509,95.6319,#N/A
23,Industrial,Partner B,enabled,null,clicks,enabled,ES,906,0.56,507.36,#N/A
24,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,853,0.14948,127.50644,#N/A
25,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,852,0.07481,63.73812,#N/A
26,Entertainment,Partner B,enabled,null,clicks,enabled,ES,848,0.18786,159.30528,#N/A
27,Funeral Services,Partner B,enabled,null,clicks,paused,ES,842,0.06,50.52,#N/A
28,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,820,0.03,24.6,#N/A
29,Industrial,Partner B,enabled,null,clicks,paused,ES,794,0.02,15.88,#N/A
30,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,773,0.65,502.45,#N/A
31,Transport & Logistics,Partner B,enabled,null,clicks,enabled,ES,746,0.1282,95.6372,#N/A
32,Health,Partner B,enabled,null,clicks,enabled,ES,715,0.7,500.5,#N/A
33,Animals & Pets,Partner B,enabled,null,clicks,enabled,ES,709,0.71,503.39,#N/A
34,Design,Partner B,enabled,null,clicks,paused,ES,657,0.16901,111.03957,#N/A
35,Real Estate,Partner B,enabled,null,clicks,paused,ES,647,0.02,12.94,#N/A
36,Restaurant,Partner B,enabled,null,clicks,enabled,ES,640,0.09956,63.7184,#N/A
37,Health,Partner B,enabled,null,clicks,enabled,ES,618,0.20647,127.59846,#N/A
38,Industrial,Partner B,enabled,null,clicks,enabled,ES,597,0.16009,95.57373,#N/A
39,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,584,0.21822,127.44048,#N/A
40,Beauty,Partner B,enabled,null,clicks,paused,ES,564,0.22591,127.41324,#N/A
41,Restaurant,Partner B,enabled,null,clicks,enabled,ES,564,0.11311,63.79404,#N/A
42,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,548,0.11643,63.80364,#N/A
43,Restaurant,Partner B,enabled,null,clicks,enabled,ES,546,0.11674,63.74004,#N/A
44,Health,Partner B,enabled,null,clicks,enabled,ES,533,0.17949,95.66817,#N/A
45,Accommodation & Hotels,Partner B,enabled,null,clicks,enabled,ES,532,0.11985,63.7602,#N/A
46,Health,Partner B,enabled,null,clicks,enabled,ES,519,0.12291,63.79029,#N/A
47,Beauty,Partner B,enabled,null,clicks,enabled,ES,513,0.18642,95.63346,#N/A
48,Industrial,Partner B,enabled,null,clicks,paused,ES,511,0.04,20.44,#N/A
49,Health,Partner B,enabled,null,clicks,enabled,ES,508,0.18846,95.73768,#N/A
50,Real Estate,Partner B,enabled,null,clicks,paused,ES,507,0.06793,34.44051,#N/A
51,Recruitment,Partner B,enabled,null,clicks,enabled,ES,504,0.1897,95.6088,#N/A
52,Electronics,Partner B,enabled,null,clicks,paused,ES,500,0.02,10,#N/A
53,Food & Drinks,Partner B,enabled,null,clicks,enabled,ES,496,0.12853,63.75088,#N/A
54,Fashion & Clothing,Partner B,enabled,null,clicks,enabled,ES,496,0.12867,63.82032,#N/A
55,Health,Partner B,enabled,null,clicks,enabled,ES,493,0.19409,95.68637,#N/A
56,Cars & Motorbikes,Partner B,enabled,null,clicks,enabled,ES,491,0.12993,63.79563,#N/A
57,Health,Partner B,enabled,null,clicks,paused,ES,490,0.17,83.3,#N/A
58,Animals & Pets,Partner B,enabled,null,clicks,paused,ES,483,0.02,9.66,#N/A
59,Health,Partner B,enabled,null,clicks,enabled,ES,482,0.13236,63.79752,#N/A
60,Fashion & Clothing,Partner B,enabled,null,clicks,paused,ES,472,0.05,23.6,#N/A
61,Interior Design & Furniture,Partner B,enabled,null,clicks,enabled,ES,466,0.1367,63.7022,#N/A
62,Health,Partner B,enabled,null,clicks,enabled,ES,463,0.41306,191.24678,#N/A
63,Industrial,Partner B,enabled,null,clicks,enabled,ES,457,0.2791,127.5487,#N/A
64,Electronics,Partner B,enabled,null,clicks,enabled,ES,456,0.13988,63.78528,#N/A
65,Flowers & Plants,Partner B,enabled,null,clicks,enabled,ES,456,0.13971,63.70776,#N/A
66,Fitness,Partner B,enabled,null,clicks,enabled,ES,454,0.2107,95.6578,#N/A
67,Health,Partner B,enabled,null,clicks,paused,ES,454,0.15,68.1,#N/A
68,Health,Partner B,enabled,null,clicks,enabled,ES,453,0.28171,127.61463,#N/A
69,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,453,0.24504,111.00312,#N/A
70,Health,Partner B,enabled,null,clicks,enabled,ES,450,0.14178,63.801,#N/A
71,Environment,Partner B,enabled,null,clicks,enabled,ES,450,0.21235,95.5575,#N/A
72,Electronics,Partner B,enabled,null,clicks,enabled,ES,444,0.14363,63.77172,#N/A
